hhno	Pregnancy_in_household	Child(ren)_under_2
209566	No	No
209567	No	Yes
209568	No	No
209569	No	No
209570	No	No
209571	No	No
209572	No	No
209573	Yes	No
209574	No	No
209575	No	No
209576	No	No
209577	No	No
209578	Yes	No
209579	No	No
209580	No	No
209581	No	No
209582	No	No
209583	No	No
209584	No	No
209585	No	No
209586	No	No
209587	No	No
209588	No	No
209589	No	No
209590	No	No
209591	No	No
209592	No	No
209593	No	No
209594	No	No
209595	No	No
209596	No	No
209597	No	No
209598	No	No
209599	No	Yes
209600	No	No
209601	No	No
209602	No	No
209603	No	No
209604	No	No
209605	No	No
209606	No	No
209607	No	No
209608	No	No
209609	No	No
209610	No	No
209611	No	No
209612	No	No
209613	No	No
209614	No	No
209615	No	No
209616	No	No
209617	No	No
209618	No	No
209619	No	No
209620	No	No
209621	No	No
209622	No	No
209623	No	No
209624	No	No
209625	No	No
209626	No	No
209627	No	No
209628	No	No
209629	No	No
209630	No	No
209631	No	No
209632	Yes	No
209633	No	No
209634	No	No
209635	No	No
209636	No	Yes
209637	No	No
209638	No	No
209639	No	No
209640	No	Yes
209641	No	No
209642	No	No
209643	No	No
209644	No	No
209645	No	No
209646	No	No
209647	Yes	No
209648	No	No
209649	No	Yes
209650	No	No
209651	No	No
209652	No	No
209653	No	No
209654	No	No
209655	No	No
209656	No	No
209657	No	No
209658	No	No
209659	No	No
209660	No	No
209661	No	No
209662	No	No
209663	No	No
209664	No	No
209665	No	No
209666	No	No
209667	No	No
209668	No	No
209669	No	No
209670	No	No
209671	No	No
209672	No	Yes
209673	No	Yes
209674	No	No
209675	No	No
209676	No	Yes
209677	No	No
209678	No	No
209679	No	No
209680	No	No
209681	No	No
209682	No	No
209683	No	No
209684	No	No
209685	No	No
209686	No	No
209687	No	No
209688	No	No
209689	No	No
209690	No	Yes
209691	No	Yes
209692	No	No
209693	No	No
209694	No	No
209695	No	No
209696	No	No
209697	No	No
209698	No	Yes
209699	Yes	No
209700	Yes	No
209701	Yes	No
209702	No	Yes
209703	No	No
209704	Yes	Yes
209705	No	No
209706	No	No
209707	No	No
209708	No	No
209709	No	No
209710	No	No
209711	No	No
209712	Yes	No
209713	No	No
209714	No	No
209715	No	No
209716	No	No
209717	No	No
209718	No	No
209719	No	No
209720	No	No
209721	No	No
209722	No	No
209723	No	No
209724	No	No
209725	No	No
209726	No	No
209727	No	No
209728	No	No
209729	No	No
209730	No	No
209731	No	No
209732	No	No
209733	No	No
209734	No	No
209735	No	No
209736	No	No
209737	No	No
209738	No	No
209739	No	No
209740	No	No
209741	No	No
209742	No	Yes
209743	No	No
209744	No	No
209745	Yes	Yes
209746	No	No
209747	No	No
209748	No	Yes
209749	No	No
209750	No	No
209751	No	Yes
209752	No	No
209753	No	No
209754	No	No
209755	No	No
209756	No	No
209757	No	No
209758	No	No
209759	No	No
209760	Yes	No
209761	No	No
209762	No	No
209763	No	No
209764	No	No
209765	No	No
209766	No	Yes
209767	No	No
209768	No	No
209769	No	No
209770	No	No
209771	No	No
209772	No	No
209773	No	No
209774	No	No
209775	No	No
209776	No	No
209777	No	No
209778	Yes	No
209779	No	No
209780	No	No
209781	No	No
209782	No	No
209783	No	No
209784	No	No
209785	No	No
209786	No	No
209787	No	Yes
209788	No	No
209789	No	Yes
209790	No	Yes
209791	No	No
209792	No	No
209793	No	Yes
209794	No	No
209795	No	No
209796	No	No
209797	No	No
209798	No	No
209799	No	No
209800	No	No
209801	No	No
209802	No	No
209803	No	No
209804	No	No
209805	No	No
209806	No	No
209807	No	No
209808	No	No
209809	No	No
209810	No	No
209811	No	Yes
209812	No	No
209813	No	No
209814	No	No
209815	No	No
209816	No	No
209817	No	No
209818	No	No
209819	No	No
209820	No	No
209821	No	Yes
209822	No	No
209823	No	No
209824	No	No
209825	No	No
209826	No	No
209827	No	No
209828	No	No
209829	No	No
209830	No	No
209831	No	No
209832	Yes	No
209833	No	No
209834	No	No
209835	No	No
209836	No	No
209837	No	Yes
209838	No	No
209839	No	No
209840	No	No
209841	No	No
209842	No	No
209843	No	No
209844	No	No
209845	No	No
209846	No	No
209847	No	No
209848	No	No
209849	No	No
209850	No	No
209851	No	No
209852	No	No
209853	No	No
209854	No	No
209855	No	No
209856	No	No
209857	No	No
209858	No	No
209859	No	No
209860	No	No
209861	No	No
209862	No	No
209863	No	No
209864	No	No
209865	No	No
209866	No	No
209867	No	No
209868	No	No
209869	No	Yes
209870	No	No
209871	No	No
209872	No	No
209873	No	No
209874	No	No
209875	No	No
209876	No	No
209877	No	No
209878	No	No
209879	No	Yes
209880	No	No
209881	No	No
209882	No	No
209883	No	No
209884	No	No
209885	No	No
209886	No	No
209887	No	No
209888	No	Yes
209889	No	No
209890	No	No
209891	No	No
209892	No	No
209893	No	No
209894	No	No
209895	No	No
209896	No	No
209897	No	No
209898	No	No
209899	No	No
209900	No	No
209901	No	No
209902	No	No
209903	Yes	No
209904	No	No
209905	No	No
209906	No	No
209907	No	No
209908	No	Yes
209909	No	No
209910	No	No
209911	No	No
209912	No	No
209913	No	No
209914	No	No
209915	No	No
209916	No	No
209917	No	No
209918	No	No
209919	No	No
209920	No	No
209921	No	No
209922	No	No
209923	No	No
209924	Yes	No
209925	No	Yes
209926	No	No
209927	No	No
209928	No	No
209929	No	No
209930	No	No
209931	No	No
209932	No	Yes
209933	No	No
209934	No	No
209935	No	No
209936	No	No
209937	No	No
209938	No	No
209939	No	No
209940	No	No
209941	No	No
209942	No	No
209943	No	No
209944	No	No
209945	No	No
209946	No	No
209947	No	No
209948	No	No
209949	No	No
209950	No	No
209951	No	No
209952	No	Yes
209953	No	Yes
209954	No	No
209955	No	No
209956	No	No
209957	No	No
209958	No	No
209959	No	No
209960	No	No
209961	No	No
209962	No	No
209963	No	No
209964	No	No
209965	No	No
209966	No	No
