hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110598	5	2	0	9995		0	7
110599	4	2	0	9995		0	52
110599	5	1	0	9995		0	2
110601	6	2	0	9995		0	4
110602	7	2	1	9985		0	11
110604	3	1	0	9995		0	4
110606	3	2	0	9995		0	26
110606	4	1	1	9985		0	4
110606	5	1	0	9995		0	7
110608	2	2	1	9985		0	32
110608	3	1	1	9985		0	67
110608	4	2	0	9995		0	25
110609	2	2	0	9995		0	20
110611	4	1	0	9995		0	13
110611	5	2	0	9995		0	30
110617	6	1	0	9995		0	2
110617	7	1	1	9985		0	4
110618	6	2	0	9995		0	2
110619	6	2	0	9995		0	4
110621	5	1	0	9995		0	4
110621	6	2	0	9995		0	11
110623	6	1	0	9995		0	6
110623	7	2	0	9995		0	6
110625	6	1	1	9985		0	7
110626	4	1	0	9995		0	7
110627	4	1	0	9995		0	34
110627	5	2	0	9995		0	44
110627	6	1	1	9985		0	30
110627	7	1	1	9985		0	10
110628	4	1	0	9995		0	10
110628	5	2	0	9995		0	8
110628	6	2	1	9985		0	2
110628	7	2	1	9985		0	2
110628	8	1	1	9985		0	2
110628	9	2	1	9985		0	2
110629	3	2	0	9995		0	2
110633	5	1	0	9995		0	7
110633	6	2	0	9995		0	7
110638	4	2	0	9995		0	6
110638	5	1	1	9985		0	4
110638	6	1	0	9995		0	4
110640	8	1	0	9995		0	23
110641	4	2	0	9995		0	3
110644	4	1	0	9995		0	47
110644	5	2	0	9995		0	4
110645	9	1	0	9995		0	28
110646	5	2	0	9995		0	2
110646	6	1	0	9995		0	2
110646	7	2	1	9995		0	2
110647	5	2	0	9995		0	5
110647	6	1	0	9995		0	7
110649	3	1	0	9995		0	2
110649	4	2	0	9995		0	2
110649	5	1	1	9985		0	2
110649	6	2	1	9985		0	2
110650	4	1	0	9995		0	7
110651	3	1	1	9985		0	4
110651	4	2	0	9995		0	24
110651	5	1	0	9995		0	28
110651	6	1	1	9985		0	4
110651	7	1	1	9985		0	16
110652	6	1	0	9995		0	5
110652	7	2	0	9995		0	5
110653	6	2	0	9995		0	8
110654	5	1	1	9985		0	17
110654	6	1	0	9995		0	4
110654	7	2	0	9995		0	2
110655	3	2	0	9995		0	7
110655	4	2	1	9985		0	7
110655	5	1	1	9985		0	11
110656	5	2	0	9995		0	2
110656	6	1	0	9995		0	2
110658	5	1	0	9995		0	5
110659	5	1	0	9995		0	2
110659	6	2	0	9995		0	4
110660	5	2	0	9995		0	2
110665	2	2	0	9995		0	7
110665	3	1	0	9995		0	7
110665	4	2	1	9985		0	7
110666	2	2	0	9995		0	4
110667	4	1	0	9995		0	13
110669	5	2	0	9995		0	6
110670	4	2	0	9995		0	7
110670	5	1	0	9995		0	7
110670	6	2	1	9985		0	7
110670	7	1	1	9985		0	7
110672	6	2	0	9995		0	5
110673	3	1	0	9995		0	2
110673	4	2	0	9995		0	2
110673	5	2	1	9985		0	10
110673	6	1	1	9985		0	10
110675	4	1	1	9985		0	31
110676	2	1	0	9995		0	41
110676	3	2	0	9995		0	10
110678	4	2	0	9995		0	14
110683	2	2	0	9995		0	2
110685	3	2	0	9995		0	4
110686	3	1	0	9995		0	7
110686	4	2	0	9995		0	7
110686	5	1	1	9985		0	7
110686	6	2	1	9985		0	7
110690	5	1	0	9995		0	5
110691	3	2	1	9985		0	15
110692	3	2	1	9985		0	40
110692	4	2	0	9995		0	22
110692	5	1	1	9985		0	3
110692	6	2	1	9985		0	3
110696	2	2	0	9995		0	28
110697	6	2	0	9995		0	23
110697	7	1	0	9995		0	15
110697	8	2	1	9985		0	5
110698	2	1	1	9985		0	14
110698	3	2	1	9985		0	14
110698	4	1	0	9995		0	2
110698	5	2	0	9995		0	2
110701	5	1	1	9985		0	14
110703	4	2	0	9995		0	32
110703	5	1	1	9985		0	17
110703	6	1	0	9995		0	2
110703	7	1	1	9995		0	4
110704	6	1	0	9995		0	4
110704	7	2	0	9995		0	4
110706	5	1	0	9995		0	5
110706	6	2	0	9995		0	5
110706	7	2	1	9985		0	5
110707	2	2	0	9995		0	12
110708	5	2	0	9995		0	41
110711	5	2	1	9995		0	4
110711	6	2	1	9985		0	4
110713	3	1	0	9995		0	10
110713	4	2	0	9995		0	15
110715	3	1	0	9995		0	18
110715	4	2	0	9995		0	22
110715	5	2	1	9985		0	5
110717	5	1	0	9995		0	8
110718	4	2	0	9995		0	2
110719	4	2	0	9995		0	5
110721	4	1	0	9995		0	5
110722	2	2	0	9995		0	5
110723	5	2	0	9995		0	15
110723	6	1	1	9985		0	15
110723	7	2	1	9985		0	5
110729	6	1	1	9985		0	22
110729	7	2	1	9985		0	22
110729	8	2	0	9995		0	26
110729	9	1	0	9995		0	4
110730	5	1	0	9995		0	25
110730	6	2	0	9995		0	11
110730	7	2	1	9995		0	6
110732	4	1	1	9995		0	2
110732	5	1	1	9985		0	4
110732	6	1	0	9995		0	4
110732	7	2	0	9995		0	22
110733	5	2	1	9985		0	5
110735	3	2	1	9985		0	46
110735	4	2	1	9985		0	9
110735	5	2	0	9995		0	32
110735	6	1	0	9995		0	15
110737	5	2	0	9995		0	8
110737	6	1	1	9985		0	9
110737	7	1	1	9985		0	13
110737	8	1	1	9985		0	4
110737	9	2	1	9995		0	4
110738	5	2	0	9985		0	20
110738	6	2	0	9995		0	8
110741	9	2	0	9995		0	7
110742	7	2	0	9995		0	34
110742	8	2	1	9985		0	5
110742	9	1	1	9985		0	5
110742	10	1	0	9995		0	24
110743	3	2	0	9995		0	47
110747	5	2	1	9985		0	7
110747	6	2	0	9995		0	5
110748	2	2	0	9995		0	5
110749	6	2	0	9995		0	14
110749	7	2	1	9995		0	5
110749	8	1	1	9995		0	6
110750	4	2	0	9995		0	14
110750	5	1	0	9995		0	7
110751	5	2	0	9995		0	25
110753	4	1	0	9995		0	49
110753	5	1	1	9985		0	14
110753	6	1	1	9985		0	14
110753	7	2	0	9995		0	28
110754	4	1	0	9995		0	10
110754	5	2	0	9995		0	5
110755	4	2	0	9995		0	2
110755	5	1	0	9995		0	2
110756	7	1	1	9995		0	12
110757	6	2	0	9995		0	4
110758	5	2	0	9995		0	15
110758	6	1	0	9995		0	15
110758	7	1	1	9985		0	5
110758	8	1	1	9985		0	5
110759	5	1	0	9995		0	4
110761	3	1	0	9995		0	43
